case,prevalence,n,total_replications,N_est,N_SE,point_fail,SE_fail,extreme,starts_agree,starts_total
C1,high,200,1000,1000,996,0,4,29,964,1000
C1,high,300,1000,1000,997,0,3,7,991,1000
C1,high,400,1000,1000,1000,0,0,2,998,1000
C1,low,200,1000,963,893,37,70,278,635,1000
C1,low,300,1000,990,908,10,82,181,756,1000
C1,low,400,1000,999,952,1,47,114,842,1000
C6,high,200,1000,1000,962,0,38,220,749,1000
C6,high,300,1000,1000,954,0,46,167,810,1000
C6,high,400,1000,1000,959,0,41,135,851,1000
C6,low,200,1000,979,834,21,145,466,461,1000
C6,low,300,1000,995,822,5,173,395,519,1000
C6,low,400,1000,997,858,3,139,304,631,1000
